HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,Size(sqf)_bins,N_FacilitiesInApt_bins,N_FacilitiesNearBy(PublicOffice)_bins,N_SchoolNearBy(University)_bins
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,195575,1001-1500,4,2,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761,501-1000,7,5,3
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143389,501-1000,7,5,3
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,130973,501-1000,3,5,4
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,79646,501-1000,3,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,151327,501-1000,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,295460,1001-1500,5,4,1
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,206,72920,0-500,2,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,495575,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380,501-1000,3,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,353982,501-1000,7,5,3
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,277876,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,285840,501-1000,8,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530,501-1000,7,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,228318,501-1000,4,5,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,469026,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,324778,1001-1500,4,5,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,243362,2001-2500,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,75221,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,343362,1001-1500,10,3,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,159292,501-1000,4,3,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486,501-1000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,318584,501-1000,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,371681,1501-2000,5,4,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,380530,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,460176,1001-1500,10,0,0
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,53097,0-500,3,5,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,376106,1001-1500,5,4,1
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,147141,501-1000,5,2,1
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,66371,501-1000,3,5,0
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637,1001-1500,4,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,203539,501-1000,7,5,4
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181415,501-1000,5,1,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,334513,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,186725,501-1000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153097,501-1000,7,5,4
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72566,501-1000,3,5,0
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168761,501-1000,7,5,4
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,402654,1501-2000,10,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,278761,1001-1500,5,1,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,252212,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796,1001-1500,5,4,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,424778,2001-2500,5,1,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185,1001-1500,5,4,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,251327,501-1000,5,2,2
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,47787,501-1000,3,5,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,77876,501-1000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,262831,501-1000,9,7,5
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,291150,501-1000,5,1,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143362,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,199115,501-1000,7,5,4
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,159292,501-1000,3,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,192035,501-1000,7,5,4
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,44247,501-1000,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,229106,501-1000,7,5,3
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,205309,501-1000,4,3,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,74336,0-500,3,7,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,349557,501-1000,9,7,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,241592,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938,501-1000,10,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,374336,1001-1500,4,2,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,265486,501-1000,9,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,163716,501-1000,4,3,1
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,193769,1001-1500,5,2,1
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,265486,501-1000,8,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831,501-1000,7,5,3
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,186725,1001-1500,7,5,4
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,243362,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,98477,0-500,7,5,3
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,34513,0-500,3,7,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,281,104424,0-500,2,3,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,362831,1001-1500,4,2,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,442477,1501-2000,10,3,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,169911,1001-1500,3,3,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,337168,1001-1500,5,4,1
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,415929,1001-1500,9,7,5
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,169026,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228761,1001-1500,4,2,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,337168,501-1000,9,7,5
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,132743,501-1000,3,5,4
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672,1501-2000,5,4,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,53097,501-1000,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,199115,501-1000,10,3,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831,1501-2000,5,4,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,181061,501-1000,10,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442,501-1000,7,5,3
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,178761,501-1000,8,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796,1001-1500,4,5,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183185,501-1000,7,5,4
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207079,1001-1500,5,2,1
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,274336,501-1000,5,2,2
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123,1501-2000,5,4,1
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,271681,501-1000,7,5,4
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,78761,501-1000,5,7,3
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57964,501-1000,3,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,298230,501-1000,4,3,1
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,162831,501-1000,5,2,1
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,119469,501-1000,3,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,181415,501-1000,5,2,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183628,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592,501-1000,7,5,4
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,300884,501-1000,5,2,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132743,501-1000,4,6,5
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769,0-500,2,3,2
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,198256,501-1000,5,2,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,566371,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,307079,1001-1500,4,5,1
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,254867,501-1000,4,3,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,348283,1501-2000,10,3,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522,501-1000,4,5,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,291150,1001-1500,5,1,2
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,470796,1001-1500,9,7,5
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,222123,501-1000,3,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,185840,1001-1500,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,252814,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,317699,1001-1500,5,4,1
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38938,0-500,3,7,5
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,227433,1001-1500,4,2,2
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,230088,501-1000,5,2,2
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,283185,501-1000,7,3,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,252814,501-1000,7,5,3
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,274336,1001-1500,4,2,2
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,107964,0-500,2,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,240707,501-1000,7,5,4
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168141,501-1000,7,5,4
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,194690,501-1000,4,3,1
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,271681,1001-1500,4,2,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,281415,1001-1500,5,1,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,66371,501-1000,3,7,5
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,167964,501-1000,4,3,1
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,261061,1001-1500,5,1,2
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,271681,501-1000,4,3,1
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,118584,501-1000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,115486,501-1000,4,6,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,566371,1501-2000,10,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,194690,1501-2000,4,6,5
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,250442,501-1000,9,7,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,174336,501-1000,5,2,1
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,307964,501-1000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,293805,501-1000,7,5,4
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1761,228318,1501-2000,4,6,5
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,82300,501-1000,4,6,5
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,355752,1001-1500,5,2,1
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,348672,1001-1500,5,4,1
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,105752,0-500,2,3,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1437,261061,1001-1500,5,1,2
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,252212,1001-1500,5,1,2
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,292035,501-1000,7,5,3
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,331858,501-1000,8,3,2
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,215486,501-1000,8,3,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,225663,501-1000,3,3,2
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,61946,501-1000,3,7,5
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,194690,501-1000,10,3,2
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,73840,501-1000,7,5,4
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,324778,1001-1500,4,2,2
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,914,90707,501-1000,5,7,3
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,196460,501-1000,5,1,2
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,212389,501-1000,3,3,2
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,110619,501-1000,4,6,5
